location_idx,lat,lon
73518,52.384,5.742
65336,52.006,5.974
56370,51.592,6.09
55931,51.574,4.6690000000000005
60647,51.79,5.713
69217,52.186,5.423
74269,52.42,4.901
61780,51.844,4.64
91475,53.212,6.235
75457,52.474,5.423
69269,52.186,6.931
71193,52.276,6.177
65694,52.024,5.046
60615,51.79,4.785
64107,51.952,4.263
76255,52.51,5.945
41156,50.89,5.974
54021,51.484,5.829
49669,51.286,4.031
48946,51.25,5.684
83632,52.852,4.9879999999999995
73877,52.402,4.843
66866,52.078,5.104
53249,51.448,6.061
67261,52.096,5.249
56368,51.592,6.032
66064,52.042,4.466
65276,52.006,4.234
71530,52.294,4.64
71934,52.312,5.046
49651,51.286,3.509
64513,51.97,4.727
71590,52.294,6.38
67650,52.114,5.22
83657,52.852,5.713
72709,52.348,4.901
55970,51.574,5.8
51691,51.376,6.119
72312,52.33,4.698
43882,51.016,5.858
70389,52.24,5.481
90684,53.176,5.916
70016,52.222,5.974
64899,51.988,4.611
72317,52.33,4.843
66482,52.06,5.2780000000000005
69188,52.186,4.582
90698,53.176,6.322
64891,51.988,4.379
91859,53.23,6.061
87939,53.05,5.481
57866,51.664,4.234
51677,51.376,5.713
53579,51.466,4.321
41930,50.926,5.8
73160,52.366,6.67
51693,51.376,6.177
62969,51.898,5.191
82498,52.798,6.032
42716,50.962,5.974
80180,52.69,6.67
61792,51.844,4.9879999999999995
54337,51.502,3.683
73527,52.384,6.003
71611,52.294,6.989
85604,52.942,5.626
75430,52.474,4.64
79729,52.672,4.901
56726,51.61,5.104
75884,52.492,6.496
79771,52.672,6.119
94980,53.374,6.09
65666,52.024,4.234
64499,51.97,4.321
77769,52.582,4.611
89927,53.14,6.583
83689,52.852,6.641
66057,52.042,4.263
75889,52.492,6.641
76222,52.51,4.9879999999999995
53618,51.466,5.452
87573,53.032,6.177
67669,52.114,5.771
80953,52.726,6.467
62978,51.898,5.452
86828,52.996,7.192
64910,51.988,4.93
40761,50.872,5.829
53174,51.448,3.886
62973,51.898,5.307
91098,53.194,6.612
91106,53.194,6.844
69998,52.222,5.452
71927,52.312,4.843
66449,52.06,4.321
62173,51.862,4.727
63334,51.916,4.466
76213,52.51,4.727
78955,52.636,5.075
78944,52.636,4.756
53172,51.448,3.8280000000000003
67299,52.096,6.351
50832,51.34,3.8280000000000003
69218,52.186,5.452
66114,52.042,5.916
86400,52.978,6.09
63775,51.934,5.945
54330,51.502,3.48
55192,51.538,5.858
76603,52.528,4.727
71538,52.294,4.872
53590,51.466,4.64
73870,52.402,4.64
52022,51.394,4.408
80578,52.708,6.902
73881,52.402,4.959
52462,51.412,5.858
52832,51.43,5.2780000000000005
94220,53.338,6.67
64509,51.97,4.611
64490,51.97,4.06
80162,52.69,6.148
91079,53.194,6.061
94211,53.338,6.409
76221,52.51,4.959
64534,51.97,5.336
52797,51.43,4.263
77778,52.582,4.872
69595,52.204,5.075
65715,52.024,5.655
87954,53.05,5.916
53983,51.484,4.727
67274,52.096,5.626
40766,50.872,5.974
66846,52.078,4.524
50521,51.322,6.119
54344,51.502,3.886
54334,51.502,3.596
72356,52.33,5.974
75832,52.492,4.9879999999999995
70370,52.24,4.93
91874,53.23,6.496
64517,51.97,4.843
61822,51.844,5.858
84795,52.906,4.785
59093,51.718,5.8870000000000005
40768,50.872,6.032
92270,53.248,6.67
49280,51.268,4.06
86775,52.996,5.655
68444,52.15,5.626
95380,53.392,6.38
52058,51.394,5.452
69267,52.186,6.873
92267,53.248,6.583
68411,52.15,4.6690000000000005
71918,52.312,4.582
